,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,Matt Ryan,Patrick Mahomes,Aaron Rodgers,Tom Brady,Matthew Stafford,Kirk Cousins,Josh Allen,Dak Prescott,Lamar Jackson,Carson Wentz,Mike White,Justin Herbert
WR1,DJ Moore,Michael Pittman Jr.,Adam Thielen,Cooper Kupp,Courtland Sutton,Justin Jefferson,DeVonta Smith,Tyreek Hill,Christian Kirk,Stefon Diggs,CeeDee Lamb,Jarvis Landry
WR2,Keenan Allen,Mike Williams,Davante Adams,Deebo Samuel,Rashod Bateman,Jerry Jeudy,Cole Beasley,Marquise Brown,Terry McLaurin,Jaylen Waddle,Tyler Lockett,Hunter Renfrow
WR3,DK Metcalf,Chris Godwin,Marquez Callaway,Amari Cooper,Emmanuel Sanders,Elijah Moore,Mike Evans,Diontae Johnson,Russell Gage,A.J. Green,A.J. Brown,Van Jefferson
RB1,Michael Carter,Adrian Peterson,Darrell Henderson Jr.,Mark Ingram II,Dalvin Cook,Cordarrelle Patterson,Aaron Jones,Myles Gaskin,Jonathan Taylor,Eli Mitchell,Najee Harris,Darrel Williams
RB2,Rhamondre Stevenson,D'Andre Swift,Leonard Fournette,Brandon Bolden,J.D. McKissic,Tony Pollard,Christian McCaffrey,James Conner,Derrick Gore,Ezekiel Elliott,Kenyan Drake,Josh Jacobs
TE,Kyle Pitts,Zach Ertz,T.J. Hockenson,Tyler Conklin,Hunter Henry,Darren Waller,Dalton Schultz,Travis Kelce,Tyler Higbee,Mark Andrews,Pat Freiermuth,George Kittle
W/R/T,T.Y. Hilton,Eno Benjamin,Devonta Freeman,Brandon Aiyuk,Corey Davis,Odell Beckham Jr.,Melvin Gordon III,James Robinson,Mike Gesicki,Austin Ekeler,Deonte Harty,D'Ernest Johnson
BN1,Nyheim Hines,Damien Harris,Tim Patrick,Mike Davis,Antonio Gibson,Kyler Murray,Dallas Goedert,Javonte Williams,Antonio Brown,Ryan Tannehill,Marvin Jones Jr.,Jeremy McNichols
BN2,Alvin Kamara,Mecole Hardman,Teddy Bridgewater,AJ Dillon,Zack Moss,Devin Singletary,Chuba Hubbard,Ja'Marr Chase,Jakobi Meyers,Darnell Mooney,Tee Higgins,Allen Robinson II
BN3,Chase Claypool,Ty Johnson,Donovan Peoples-Jones,Nelson Agholor,Kenneth Gainwell,Khalil Herbert,DeSean Jackson,Brandin Cooks,Kenny Golladay,Laviska Shenault Jr.,Marquez Valdes-Scantling,Tyler Boyd
BN4,Joe Burrow,David Montgomery,Chase Edmonds,Evan Engram,DeAndre Hopkins,Kadarius Toney,Alexander Mattison,Derek Carr,David Johnson,Dawson Knox,Noah Fant,Jalen Hurts
BN5,Devontae Booker,Russell Wilson,Saquon Barkley,Jordan Howard,Sterling Shepard,Joe Mixon,,Rob Gronkowski,Michael Gallup,Jeff Wilson Jr.,Kendrick Bourne,San Francisco
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,New Orleans,Tampa Bay,Denver,Dallas,Tennessee,Indianapolis,Arizona,Pittsburgh,New England,Buffalo,Baltimore,Los Angeles
