,daafisch,Chris,Tbistany,SHARKface,Erez,Tim,Jason,Ilan,Mark,JP,Frank Puoplo,D
QB,27.85,22.75,21.0,38.95,32.25,19.3,39.95,25.3,20.5,32.35,14.35,18.55
WR1,7.9,24.0,16.8,21.4,7.6,2.6,11.8,21.4,5.0,19.2,26.0,3.6
WR2,19.3,25.6,4.5,20.1,5.0,6.05,2.0,11.6,7.6,9.4,6.0,7.5
WR3,16.7,8.8,2.6,22.2,0.0,5.9,15.0,12.8,6.6,12.5,14.05,18.2
RB1,15.0,14.0,5.3,9.1,2.7,16.95,20.5,4.4,19.7,19.7,19.5,14.0
RB2,15.1,5.6,4.4,7.4,7.8,23.1,13.6,14.2,0.8,21.4,2.6,6.8
TE,2.3,2.3,13.9,6.4,3.8,8.2,10.2,2.7,4.0,9.0,1.8,3.5
W/R/T,8.1,2.9,21.8,7.5,4.5,7.8,15.5,17.3,8.3,9.3,11.7,0.55
BN1,27.7,17.1,0.0,7.8,6.9,0.0,0.0,0.0,0.0,0.0,20.2,1.0
BN2,5.1,-0.3,7.9,0.0,0.0,1.1,2.1,5.8,0.0,6.15,0.0,14.25
BN3,2.2,0.0,14.4,6.2,0.0,0.0,4.3,7.0,12.5,7.5,0.0,0.0
BN4,5.75,0.0,0.0,9.9,8.8,3.4,17.7,0.0,0.0,9.4,12.4,0.0
BN5,18.0,3.55,0.0,2.6,13.3,0.7,0.0,0.0,0.0,3.1,0.0,10.85
BN6,,,,,,,,,,,,
BN7,,,,,,,,,,,,
BN8,,,,,,,,,,,,
BN9,,,,,,,,,,,,
BN10,,,,,,,,,,,,
DEF,8.8,9.9,18.25,12.0,8.9,11.65,6.7,14.65,20.3,19.1,5.3,9.5
